left_split,left_index,left_category,left_text,right_split,right_index,right_category,right_text,similarity
train,6280,transfer_not_received_by_recipient,"A transaction I did to my friend hasn't arrived yet, why?",validation,1488,transfer_not_received_by_recipient,Why hasn't arrived yet a transaction I did to my friend?,0.972477
train,2637,extra_charge_on_statement,I got a €1 extra fee in my statement,validation,167,extra_charge_on_statement,"In my statement, I got a €1 extra fee.",0.971429
train,2823,terminate_account,Please delete my account now.,validation,1929,terminate_account,Delete my account now please.,0.964286
train,6305,wrong_amount_of_cash_received,How can I request cash back? The ATM gave me the wrong amount that I've been charged though...,validation,1242,wrong_amount_of_cash_received,How can I request cash back? The ATM just gave me the wrong amount that I've been charged though...,0.964286
train,2784,wrong_exchange_rate_for_cash_withdrawal,Can i get money back in my home currency at  ATM? As I am on holiday and bit concerned because i do not have any cash with me . Is it possible to withdraw without any additional cost.,validation,622,wrong_exchange_rate_for_cash_withdrawal,Can i get money in my home currency at my ATM ?I am on holiday and bit concerned because i do not have any cash with me .Is it possible to withdraw without any additional cost.,0.963455
train,6032,change_pin,Do I have to go into the bank to change my PIN?,validation,84,change_pin,Do I have to go to the bank to change my PIN?,0.962963
train,5063,transfer_timing,How long does transfer from the US take?,validation,1964,transfer_timing,How long does a transfer from the US take?,0.962025
train,6929,card_arrival,Can you tell me why I haven't received my new card?,validation,1922,card_arrival,Can you tell me why I haven't received my new card yet?,0.960784
train,1248,refund_not_showing_up,I keep checking my statements but nothing shows up. I requested a refund a long time ago but seems it's not reaching my account for some reason. Would you please help me get the money back from the seller.,validation,1792,refund_not_showing_up,I keep checking my statements but nothing shows up! I requested a refund a long time ago but seems it's not reaching my account for some reason. Can you please help me get the money back from the seller for me,0.959538
train,2929,transfer_not_received_by_recipient,I transferred some money but it hasn't arrived.,validation,1259,balance_not_updated_after_bank_transfer,I transferred some money but it hasn't arrived yet,0.957447
train,171,pending_transfer,I'm still waiting for a money transfer to show.,validation,1459,pending_transfer,"I'm waiting for a money transfer to show, still.",0.956522
train,1468,card_about_to_expire,"My card will expire soon, do I need to order a new one?",validation,1296,card_about_to_expire,"My card will expire soon, When do I need to order a new one?",0.954128
train,546,exchange_rate,from where are coming your exchange rates?,validation,1477,exchange_rate,Your exchange rates are coming from where?,0.95
train,594,declined_card_payment,Why do you keep declining my payment? I tried several times already with this card and it is just not working.,validation,1949,declined_card_payment,Why do you keep declining my payment?I tried several times with this card and it is just not working.,0.95
train,1441,declined_card_payment,Why do you keep declining my payment?I tried several times already with this card and it is just not working.,validation,1949,declined_card_payment,Why do you keep declining my payment?I tried several times with this card and it is just not working.,0.95
train,7117,refund_not_showing_up,I keep checking my statements but nothing shows up.I requested a refund a long time ago but seems like it's not submitting my account for some reason. Can you please help me get the money back from the seller for me,validation,1792,refund_not_showing_up,I keep checking my statements but nothing shows up! I requested a refund a long time ago but seems it's not reaching my account for some reason. Can you please help me get the money back from the seller for me,0.946479
train,1247,transaction_charged_twice,I was charged twice for the same thing.,validation,219,transaction_charged_twice,I was charged for the same thing twice,0.945946
train,7941,pending_transfer,How long will my transfer be pending?,validation,563,pending_transfer,How long will my transfer be pending for?,0.945946
train,4856,wrong_amount_of_cash_received,How can I request cash back? The ATM just gave me a different amount than what I've been charged though...,validation,215,wrong_amount_of_cash_received,How can I request cash back? The ATM just gave me a different amount than what I've been actually charged though...,0.94359
train,622,fiat_currency_support,What flat currencies do you support for holding and exchange?,validation,1639,fiat_currency_support,Which flat currencies do you support for holding and exchange?,0.941176
train,7031,visa_or_mastercard,Can both a Visa and Mastercard be received from you?,validation,1187,visa_or_mastercard,Visa and Mastercard can both be received from you?,0.94
train,5703,receiving_money,Can I receive payment in another currency?,validation,890,receiving_money,Can I receive payments in another currency?,0.939759
train,2359,topping_up_by_card,I don't see my top up in my wallet.,validation,372,topping_up_by_card,I don't see me 'top up' in my wallet,0.939394
train,5450,top_up_by_card_charge,Are there charges for using a bank card to top up,validation,1715,top_up_by_card_charge,Are there any charges for using a bank card to top up,0.938776
train,805,card_swallowed,What do I do?  The ATM took my card!,validation,1322,card_swallowed,What do I do if the ATM took my card?,0.9375
train,1594,pending_card_payment,What does it mean if it says that my payment is pending?,validation,1205,pending_card_payment,"It says that my payment is pending, what does that mean?",0.9375
train,4675,visa_or_mastercard,Will I get a visa or Mastercard?,validation,902,visa_or_mastercard,Will I get a Visa card or Mastercard?,0.9375
train,1734,balance_not_updated_after_cheque_or_cash_deposit,I made a cash deposit going to my account but it is not there,validation,401,balance_not_updated_after_cheque_or_cash_deposit,I made a cash deposit to my account but it is not there,0.936937
train,2696,verify_top_up,Where is the top-up verification code sent?,validation,195,verify_top_up,Where is the top-up verification code?,0.936709
train,6513,country_support,I'm in the EU. Can I get one of your cards?,validation,546,country_support,I am in the EU. Can I get one of your cards?,0.936709
train,5585,fiat_currency_support,What currencies are supported?,validation,1447,fiat_currency_support,What fiat currencies are supported?,0.935484
train,780,activate_my_card,Can someone assist me with activating my card?,validation,679,activate_my_card,Can someone assist me with activating my new card?,0.934783
train,4441,pending_transfer,"My transfer is still pending, why?",validation,1727,pending_transfer,My transfer is still pending,0.933333
train,4675,visa_or_mastercard,Will I get a visa or Mastercard?,validation,1375,visa_or_mastercard,Will I get Visa or MasterCard?,0.933333
train,6468,disposable_card_limits,How many transactions can I do with a disposable card?,validation,74,disposable_card_limits,How many transactions can I do with my disposable card?,0.933333
train,134,card_linking,"I want to reactivate my card, I thought I had lost it but found it again in my jacket this morning.",validation,1650,card_linking,"I want to reactivate my card, I thought I had lost it but found it again this morning.",0.932515
train,200,verify_top_up,Where can I find the verification code for the card top-up?,validation,212,verify_top_up,Where can I find the verification code for a top-up?,0.932039
train,2292,top_up_by_bank_transfer_charge,why do you charge for transfers?,validation,1331,top_up_by_bank_transfer_charge,Do you charge for transfers?,0.931034
train,1830,transfer_not_received_by_recipient,"I have done a transfer within the country the day before yesterday, but it's still not there yet. Can you please check what's going on with that, the account number definitely is the right one, I've checked that several times already.",validation,0,transfer_not_received_by_recipient,"I have done a transfer within the country a couple days ago, but it's still not there yet. Can you please check what's going on with that, the account number definitely is the right one, I've checked that several times already.",0.930362
train,2823,terminate_account,Please delete my account now.,validation,973,terminate_account,Delete my account please. Now!,0.928571
train,3349,top_up_by_card_charge,Is there a charge for topping up by card?,validation,1320,top_up_by_card_charge,Is there a fee for topping up by charge card?,0.928571
train,3660,verify_top_up,How can I verify my top-up card?,validation,1291,verify_top_up,How can I verify my top up?,0.928571
train,7386,cancel_transfer,I want to revert a transaction I did this morning,validation,463,cancel_transfer,I want to reverse a transaction I did this morning,0.927835
train,5638,get_disposable_virtual_card,What are the disposable cards for?,validation,528,get_disposable_virtual_card,"The disposable cards, what are they for?",0.927536
train,3175,direct_debit_payment_not_recognised,How can I dispute a debit transaction?,validation,1467,direct_debit_payment_not_recognised,How can I dispute a direct debit transaction?,0.925
train,5032,verify_top_up,Where Is the top up verification code found?,validation,195,verify_top_up,Where is the top-up verification code?,0.925
train,4764,change_pin,Can I change my PIN without going to a bank branch?,validation,606,change_pin,Can I change my PIN without going to a bank?,0.924731
train,7742,card_payment_fee_charged,Why was I charged an extra fee when paying with card?,validation,877,card_payment_fee_charged,"Why, when paying with the card, was I charged an extra fee?",0.924528
train,159,apple_pay_or_google_pay,Am I able to Top Up with Apply Pay?,validation,1795,apple_pay_or_google_pay,Am I able to top up with Apple Pay?,0.923077
train,7682,lost_or_stolen_phone,"My phone was stolen, what should I do first?",validation,1602,lost_or_stolen_phone,"My phone was stolen, what should I do?",0.923077
train,1564,verify_source_of_funds,"I need to know this, where do my funds come from?",validation,187,verify_source_of_funds,I need to know where do my funds come from,0.921348
train,2579,pending_cash_withdrawal,"I removed cash from an ATM earlier but it shows up as pending in the app. How can this still be pending, I already received the cash?",validation,1768,pending_cash_withdrawal,"I Withdrew cash from an ATM earlier but it shows up as pending in the app. How can this still be pending, I received the cash already?",0.92093
train,4788,country_support,Which countries do you operate in,validation,117,country_support,You operate in which countries?,0.920635
train,6900,edit_personal_details,How can I change my address?,validation,1800,edit_personal_details,Can I change my address?,0.92
train,3050,topping_up_by_card,How can my friends top up my account?,validation,1684,topping_up_by_card,Show me how can my friends top up my account.,0.918919
train,3571,transfer_not_received_by_recipient,Why hasn't the transaction I did to my friend arrived yet?,validation,1488,transfer_not_received_by_recipient,Why hasn't arrived yet a transaction I did to my friend?,0.918919
train,6583,verify_top_up,Do I need to verify my top-up card?,validation,292,verify_top_up,Do i need to verify my top up?,0.918033
train,1360,pending_transfer,Why is my transfer pending?,validation,1440,pending_transfer,Is my transfer pending?,0.916667
train,3142,top_up_reverted,My top up was rejected. Why?,validation,1585,top_up_failed,My top-up was rejected,0.916667
train,3421,disposable_card_limits,Is there a transaction limit on a disposable card?,validation,1207,disposable_card_limits,Is there a transaction limit for a disposable card?,0.916667
train,5672,pending_cash_withdrawal,Why is my cash withdrawal still pending?,validation,1121,pending_cash_withdrawal,Why is my cash withdrawal pending?,0.916667
train,935,pending_cash_withdrawal,"I got cash from an ATM earlier but it shows up as pending in the app. How can this still be pending, I already received the cash?",validation,1768,pending_cash_withdrawal,"I Withdrew cash from an ATM earlier but it shows up as pending in the app. How can this still be pending, I received the cash already?",0.915888
train,192,apple_pay_or_google_pay,Is it possible for me to top up with Google Pay?,validation,122,apple_pay_or_google_pay,is it possible to top-up with google pay.,0.915663
train,2372,card_arrival,I'm still waiting for my card.,validation,1510,card_arrival,I am still waiting for my card.,0.915254
train,2816,automatic_top_up,Is there a auto top-up option?,validation,1965,automatic_top_up,Is there an auto top up option?,0.915254
train,4710,direct_debit_payment_not_recognised,"In my app, a direct debit payment I didn't do shows in my app",validation,584,direct_debit_payment_not_recognised,"In my app, a direct debit payment that I didn't do shows up.",0.914286
train,6714,verify_top_up,Where can I find the verification code for the top up card?,validation,212,verify_top_up,Where can I find the verification code for a top-up?,0.914286
train,1283,top_up_limits,Is there a limit on how much I can top up?,validation,291,top_up_limits,Is there a limit to how much I can top up?,0.91358
train,5015,cash_withdrawal_charge,Why was there a fee with my cash withdrawal?,validation,495,cash_withdrawal_charge,Why was there a fee on my cash withdrawal?,0.91358
train,5145,verify_top_up,Where is the top-up verification code located?,validation,195,verify_top_up,Where is the top-up verification code?,0.91358
train,28,getting_spare_card,Can I get another card?,validation,262,getting_spare_card,How can I get another card?,0.913043
train,7773,activate_my_card,Help my activate my card.,validation,1140,activate_my_card,Help me activate my card.,0.913043
train,5950,verify_top_up,How do I verify the top-up?,validation,1886,verify_top_up,How do I verify the top-up card?,0.912281
train,7057,verify_top_up,How do I verify the top up?,validation,1886,verify_top_up,How do I verify the top-up card?,0.912281
train,6827,verify_top_up,Where is the top-up card verification code?,validation,195,verify_top_up,Where is the top-up verification code?,0.911392
train,6430,extra_charge_on_statement,There is a 1£ charge that appears as pending on my statement. What is that? I haven't purchased anything for a pound there.,validation,367,extra_charge_on_statement,There is an odd 1£ charge that appears as pending on my statement. What's the reason for that? I haven't purchased anything for a pound.,0.910798
train,427,direct_debit_payment_not_recognised,I did not set up a direct debit I have,validation,455,direct_debit_payment_not_recognised,I have a direct debit that I did not set up,0.909091
train,1556,pending_transfer,How long will a transfer be pending for?,validation,563,pending_transfer,How long will my transfer be pending for?,0.909091
train,6320,pending_cash_withdrawal,"my cash withdrawal is pending, why?",validation,1121,pending_cash_withdrawal,Why is my cash withdrawal pending?,0.909091
train,6410,reverted_card_payment,I think a card payment I made was cancelled.,validation,1161,reverted_card_payment,I think a payment I made with a card was cancelled.,0.909091
train,7962,extra_charge_on_statement,Why is there an extra fee on my statement?,validation,761,extra_charge_on_statement,"There's an extra fee on my statement, why is that?",0.909091
train,3438,transfer_fee_charged,"I made a transfer and the receiver did not get the right amount its lesser than what it should be,Now I have to transfer more money to make up for the missing amount . Can you please help me about this, what should be done",validation,168,transfer_fee_charged,"I made a transfer and according to the receiver ""they haven't received the right amount"" Its lesser than it should be.Now I have to transfer more money to make up for the missing amount . Can you please help me about this, what should be done ?",0.908555
train,3438,transfer_fee_charged,"I made a transfer and the receiver did not get the right amount its lesser than what it should be,Now I have to transfer more money to make up for the missing amount . Can you please help me about this, what should be done",validation,396,transfer_fee_charged,"I made a transfer and according to the receiver ""they haven't received the right amount"" Its lesser than it should be.Now I have to transfer more money to make up for the missing amount . Can you please help me about this,what should be done",0.908555
train,4838,transfer_fee_charged,Why was I charged for transferring money?,validation,12,transfer_fee_charged,Why was I charged a fee for transferring money,0.906977
train,1046,get_disposable_virtual_card,Is there a disposable virtual card?,validation,907,get_disposable_virtual_card,Is there a disposable virtual card option?,0.906667
train,1066,card_arrival,Is there a tracking number for the card?,validation,1959,card_arrival,Where is the tracking number for the card?,0.906667
train,3989,virtual_card_not_working,I can't get my virtual card to work at all,validation,1253,virtual_card_not_working,I can't get my virtual card to work.,0.906667
train,3499,card_arrival,When will my new card be delivered?,validation,1536,card_delivery_estimate,When will my card be delivered?,0.90625
train,3564,top_up_failed,I don't think my top up worked,validation,470,top_up_failed,I don't think that my top-up worked.,0.90625
train,6468,disposable_card_limits,How many transactions can I do with a disposable card?,validation,1859,disposable_card_limits,With one disposable card how many transactions can i do?,0.90566
train,7385,card_about_to_expire,My card is due to expire soon.,validation,1406,card_about_to_expire,My card is due to expire,0.90566
train,437,get_disposable_virtual_card,How do I get a disposable virtual card as well?,validation,322,get_disposable_virtual_card,how do I get a disposable virtual card?,0.904762
train,5193,virtual_card_not_working,Why isn't my disposable virtual card working?,validation,1274,virtual_card_not_working,My disposable virtual card isn't working.,0.904762
train,6130,automatic_top_up,How do I access the option to top up?,validation,124,automatic_top_up,How do i access the auto top-up option?,0.90411
train,1217,card_arrival,Why have I not gotten my new card?,validation,803,card_arrival,why have i not got my new card?,0.903226
train,3077,top_up_limits,what is the most money i can top up?,validation,1589,top_up_limits,What is the most I can top-up?,0.903226
train,5456,declined_transfer,How come my transfer got declined,validation,1008,declined_transfer,how come my transfer declined,0.903226
train,6141,reverted_card_payment,My card payment has been cancelled,validation,1583,reverted_card_payment,My payment has been cancelled,0.903226
train,423,balance_not_updated_after_cheque_or_cash_deposit,Waiting for the cash I deposited this morning still,validation,1911,balance_not_updated_after_cheque_or_cash_deposit,I am still waiting for a the cash I deposited this morning,0.901961
train,3880,card_linking,"I received my card, how do I get it to show in the app?",validation,520,card_linking,"I received my card, how do I get it to work in the app?",0.901961
train,4760,transfer_into_account,Can I add money to my account via bank transfer?,validation,1555,transfer_into_account,Can I add money to top up my account via a bank transfer?,0.901961
train,475,supported_cards_and_currencies,What cards and currencies can I use to top up my account?,validation,1472,supported_cards_and_currencies,What currencies and methods can i use to top up my account?,0.900901
train,1000,transfer_timing,Does a US transfer take long,validation,970,transfer_timing,how long does a US transfer take,0.9
train,2815,cash_withdrawal_not_recognised,There are funds showing in my app that I did not receive.,validation,175,cash_withdrawal_not_recognised,There are funds in my app that I did not receive.,0.9
train,6435,failed_transfer,"My transfer failed, why?",validation,49,failed_transfer,My transfer failed,0.9
train,3575,apple_pay_or_google_pay,Can I use my apple watch to top-up?,test,2964,apple_pay_or_google_pay,Can I use my Apple Watch to to top up?,1.0
train,6603,supported_cards_and_currencies,What currencies and cards do you support?,test,897,supported_cards_and_currencies,What cards and currencies do you support?,1.0
train,7573,declined_transfer,Why do you keep declining my transfers? it's always been working really well so far but when I tried to buy something just now the card got declined . I tried couple of times already  but same thing is happening .,test,1725,declined_transfer,Why do you keep declining my transfers?it was always been working really well so far but when I tried to buy something just now the card got declined . I tried couple of times already  but same thing is happening.,0.988304
train,594,declined_card_payment,Why do you keep declining my payment? I tried several times already with this card and it is just not working.,test,1839,declined_card_payment,Why do you keep declining my payment? I tried several times already with this card and it's just not working,0.985646
train,1441,declined_card_payment,Why do you keep declining my payment?I tried several times already with this card and it is just not working.,test,1839,declined_card_payment,Why do you keep declining my payment? I tried several times already with this card and it's just not working,0.985646
train,505,verify_my_identity,"For the identity check, do I need any kind of documentation?",test,3033,verify_my_identity,Do I need any kind of documentation for the identity check?,0.982143
train,4605,supported_cards_and_currencies,what currencies can i use to add money to my account,test,880,supported_cards_and_currencies,"To add money to my account, what currencies can I use?",0.98
train,7822,request_refund,Hello I changed my mind and really need a refund on one of things I bought recently. Can you please cancel the transaction and get me my money back. Pls it's urgent,test,1706,request_refund,Hello I changed my mind and really need a refund on one of things I bought recently. Can you please cancel the transaction and get my money back. Please it's urgent.,0.978102
train,5778,exchange_rate,Where are you getting your exchange rates from?,test,113,exchange_rate,From where are you getting your exchange rates?,0.976744
train,1122,edit_personal_details,"Since I got married, I need to change my name.",test,1148,edit_personal_details,I need to change my name since I got married,0.97619
train,719,pending_cash_withdrawal,I tried to get some money but the machine was not working .The transaction still seems in progress! Can you please check what's going on.I don't want to be charged for money that I did not received.,test,218,pending_cash_withdrawal,"Hi,I tried to get some money out but the machine was not working .The transaction still seems in progress! Can you please check what's going on.I don't want to be charged for money that I did not received.",0.975758
train,82,exchange_rate,On what do you base your exchange rates?,test,103,exchange_rate,What do you base your exchange rates on?,0.972973
train,4011,pending_transfer,How long does it take for a money transfer to show up?,test,1879,pending_transfer,How long does it take for a money transfer to show?,0.969697
train,515,failed_transfer,My transfer didn't work how come?,test,2291,failed_transfer,how come my transfer didn't work,0.96875
train,6662,why_verify_identity,Can I use my account without verifying identity?,test,1167,why_verify_identity,Can I use my account without verifying my identity?,0.968421
train,2157,country_support,"If I don't live in the UK, can I still get a card?",test,3070,country_support,I don't live in the UK.  Can I still get a card?,0.965517
train,1884,terminate_account,terminate my account please,test,1904,terminate_account,Please terminate my account.,0.962963
train,6596,declined_card_payment,"I was out today looking forward to paying with my new card, turns out the payment kept getting declined. This is really sad, what's going on?",test,1809,declined_card_payment,"I was out today looking forward to pay with my new card, turns out the payment just kept getting declined. This is really sad, what's going on?",0.962025
train,4273,order_physical_card,Can cards be delivered? Where?,test,2515,order_physical_card,Where can cards be delivered?,0.961538
train,2018,verify_my_identity,What are the steps to verify identity?,test,3019,verify_my_identity,What are the steps to verify my identity?,0.961039
train,467,automatic_top_up,Where can I find the auto-top up feature?,test,330,automatic_top_up,"Where can I find the ""auto-top"" feature?",0.96
train,7735,age_limit,What are age requirements for opening an account?,test,509,age_limit,What are the age requirements for opening an account?,0.96
train,1676,top_up_by_card_charge,Are there fees for adding money with an International card?,test,2801,top_up_by_card_charge,Are there any fees for adding money with an international card?,0.957265
train,2711,transaction_charged_twice,"Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once,second time it works. App still stays pending for one of the payments. Can you please remove one of them as it's wrong and was declined?",test,1993,transaction_charged_twice,"Looks like my card payment was duplicated. I went to pay at the store earlier, got declined once,second time it works. App still stays pending for one of the payments. Can you please remove one of them as it's wrong and clearly was declined?",0.954178
train,7742,card_payment_fee_charged,Why was I charged an extra fee when paying with card?,test,809,card_payment_fee_charged,Why was I charged an extra fee when paying with my card?,0.952381
train,113,transaction_charged_twice,"Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once,second time it works. App still stays pending for one of the payments. Can you remove one of them as it's wrong and clearly was declined?",test,1993,transaction_charged_twice,"Looks like my card payment was duplicated. I went to pay at the store earlier, got declined once,second time it works. App still stays pending for one of the payments. Can you please remove one of them as it's wrong and clearly was declined?",0.951351
train,3388,exchange_via_app,How can I exchange currencies with this app?,test,407,exchange_via_app,Can I exchange currencies with this app?,0.95122
train,7100,verify_top_up,why do i have to verify top up?,test,2381,verify_top_up,Why do I have to verify the top-up?,0.95082
train,7715,why_verify_identity,Can I make transfers before my identity verification?,test,1164,why_verify_identity,Can I make transfers before identity verification?,0.950495
train,7755,card_payment_fee_charged,Why did I have to pay extra because I paid with my card?,test,810,card_payment_fee_charged,Why did I have to pay extra because I paid with card?,0.950495
train,703,declined_card_payment,"I was out today looking forward to paying with my new card, but the payment just kept getting declined. This is really sad, what's going on?",test,1809,declined_card_payment,"I was out today looking forward to pay with my new card, turns out the payment just kept getting declined. This is really sad, what's going on?",0.95
train,3464,beneficiary_not_allowed,A transfer was not allowed to an account.,test,2182,beneficiary_not_allowed,A transfer to an account was not allowed,0.95
train,7035,wrong_amount_of_cash_received,The ATM gave me less cash than requested,test,788,wrong_amount_of_cash_received,The ATM gave me less cash than I requested,0.95
train,3205,why_verify_identity,Can I use my account even though the identity verification has not passed yet?,test,1171,why_verify_identity,"Can I still use my account, even though the identity verification has not passed yet?",0.949367
train,4880,card_acceptance,In what places can I use my card?,test,972,card_acceptance,What places can I use my card?,0.949153
train,6634,change_pin,At what ATM can I change my PIN?,test,2132,change_pin,In what ATM can I change my pin?,0.949153
train,6769,get_disposable_virtual_card,How can I create a disposable virtual card?,test,2601,get_disposable_virtual_card,Can I create a disposable virtual card?,0.948718
train,5020,transfer_fee_charged,"I thought transfers were free, why was I charged?",test,2220,transfer_fee_charged,"I thought transfers were free, why was I charged a fee?",0.948454
train,1787,card_about_to_expire,My card is about to expire.  How do I get a new card?,test,2958,card_about_to_expire,My card is about to expire. How do I get a new one?,0.947368
train,6205,country_support,What are the countries that you operate in?,test,3078,country_support,What are the countries you operate in.,0.947368
train,6323,top_up_reverted,Has my top-up been cancelled?,test,1031,top_up_reverted,has my top-up has been cancelled,0.947368
train,171,pending_transfer,I'm still waiting for a money transfer to show.,test,1876,pending_transfer,I am still waiting for a money transfer to show,0.946237
train,7941,pending_transfer,How long will my transfer be pending?,test,1872,pending_transfer,For how long will my transfer be pending?,0.945946
train,7642,terminate_account,How do I delete my account now,test,1911,terminate_account,How do I delete my account?,0.945455
train,1576,activate_my_card,How do I activate my card so I can start using it?,test,2844,activate_my_card,How can I activate my card so I can start using it?,0.945055
train,3534,supported_cards_and_currencies,How can I use my American Express to add money into my account?,test,890,supported_cards_and_currencies,Can I use American Express to add money into my account?,0.944444
train,412,verify_my_identity,What can I use to verify my identity?,test,3000,verify_my_identity,What can I use to verify my identify?,0.942857
train,1057,pending_top_up,Why hasn't my top-up gone through?,test,656,pending_top_up,why hasn't my top up gone through yet,0.942857
train,1961,reverted_card_payment,has my card payment been reverted?,test,2104,reverted_card_payment,Why has my card payment been reverted?,0.942857
train,2637,extra_charge_on_statement,I got a €1 extra fee in my statement,test,181,extra_charge_on_statement,I got a extra €1 fee in my statement,0.942857
train,4935,pending_top_up,Why hasn't my top up gone through?,test,656,pending_top_up,why hasn't my top up gone through yet,0.942857
train,2726,top_up_limits,is there a limit to top up,test,738,top_up_limits,Is there a limit to top-ups?,0.941176
train,7866,exchange_via_app,How can I change to another currency?,test,418,exchange_via_app,Can I change to another currency?,0.941176
train,7946,visa_or_mastercard,Please give me both a visa and a mastercard.,test,1313,visa_or_mastercard,Please give me both a visa and a master card.,0.941176
train,570,top_up_by_card_charge,What fees are there for adding money using an international card,test,2826,top_up_by_card_charge,Are there fees for adding money using an international card,0.940171
train,1190,reverted_card_payment,What happens if a merchant doesn't accept  you payment?,test,2114,reverted_card_payment,What happens if a merchant doesn't accept a payment?,0.94
train,7578,extra_charge_on_statement,What is this $1 charge on my account?,test,1484,direct_debit_payment_not_recognised,what is this charge on my account,0.939394
train,3036,card_not_working,I think my card is broke?,test,374,card_not_working,I think my card is broken,0.938776
train,6706,pending_top_up,My top up did not complete.,test,661,pending_top_up,top up did not complete,0.938776
train,543,transaction_charged_twice,Why was I charged twice for the same thing?,test,1965,transaction_charged_twice,Why was I chaged twice for the same thing?,0.938272
train,776,cancel_transfer,I would like help to revert a transaction I did this morning,test,687,cancel_transfer,I would like to revert a transaction I did this morning,0.938053
train,5354,declined_transfer,I tried to buy something online yesterday but it kept saying declined. Tried again today but same thing happened. What's wrong?,test,1754,declined_transfer,I tried to buy something online yesterday but it kept saying declined. Tried again today but same thing happened. What's broken?,0.9375
train,6695,edit_personal_details,Can I edit my personal details?,test,1157,edit_personal_details,How can I edit my personal details?,0.9375
train,7573,declined_transfer,Why do you keep declining my transfers? it's always been working really well so far but when I tried to buy something just now the card got declined . I tried couple of times already  but same thing is happening .,test,1735,declined_transfer,"You keep declining my transfers? It's always been working really well so far, but when I tried to buy something just now the card got declined. I tried couple times already but same thing.",0.9375
train,6866,disposable_card_limits,How many active transactions can I make with a disposable card?,test,2637,get_disposable_virtual_card,how many transactions can i make with a disposable card,0.936937
train,2244,request_refund,Hello I changed my mind and want a refund on one of things I bought recently. Can you please cancel the transaction and get me my money back. Please it's urgent.,test,1706,request_refund,Hello I changed my mind and really need a refund on one of things I bought recently. Can you please cancel the transaction and get my money back. Please it's urgent.,0.936803
train,6268,country_support,i want to get a card but i live in the US,test,3040,country_support,I live in the US but want to get a card,0.936709
train,3534,supported_cards_and_currencies,How can I use my American Express to add money into my account?,test,899,supported_cards_and_currencies,How can I use American Express to add money to my account?,0.93578
train,4543,get_disposable_virtual_card,Can I order a disposable virtual card?,test,2625,get_disposable_virtual_card,When can I order a disposable virtual card?,0.935065
train,3576,age_limit,How old do my kids need to be to open an account?,test,516,age_limit,How old does my kids need to be to open an account?,0.934783
train,3750,card_arrival,I'm still waiting on my new card to be delivered!,test,33,card_arrival,I'm still waiting on my card to be delivered.,0.934783
train,7389,exchange_charge,Is there a few for exchanging foreign currencies?,test,2774,exchange_charge,Is there a fee for exchanging foreign currencies?,0.934783
